127.0.0.1, 2014-12-22 21:22:32, GET, /freshman/default/index, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-12-22 21:22:34, GET, /test/default/index, HTTP/1.1, 200, 0.057000
127.0.0.1, 2014-12-22 21:22:37, GET, /joinus/default/departments, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-12-22 21:22:39, GET, /test/default/index, HTTP/1.1, 200, 0.046000
127.0.0.1, 2014-12-22 21:22:42, GET, /joinus/default/joinus, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-12-22 21:22:45, GET, /test/default/index, HTTP/1.1, 200, 0.061000
127.0.0.1, 2014-12-22 21:22:47, GET, /test/default/index, HTTP/1.1, 200, 0.080000
127.0.0.1, 2014-12-22 21:22:48, GET, /test/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-12-22 21:23:05, GET, /joinus/default/services, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-12-22 21:23:07, GET, /test/default/index, HTTP/1.1, 200, 0.069000
127.0.0.1, 2015-01-04 21:31:57, GET, /, HTTP/1.1, 303, 0.019000
127.0.0.1, 2015-01-04 21:31:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.302000
127.0.0.1, 2015-01-04 21:31:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.069000
127.0.0.1, 2015-01-04 21:31:58, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.059000
071000
127.0.0.1, 2015-01-04 21:31:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.071000
127.0.0.1, 2015-01-04 21:31:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.062000
127.0.0.1, 2015-01-04 21:31:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.070000
127.0.0.1, 2015-01-04 21:31:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-01-04 21:31:58, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-01-04 21:31:58, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:31:58, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:31:58, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:31:58, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-01-04 21:31:59, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:31:59, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.037000
127.0.0.1, 2015-01-04 21:31:59, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.038000
127.0.0.1, 2015-01-04 21:31:59, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.038000
127.0.0.1, 2015-01-04 21:32:09, GET, /admin, HTTP/1.1, 200, 0.237000
127.0.0.1, 2015-01-04 21:32:09, GET, /admin/static/_2.9.11/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-01-04 21:32:09, GET, /admin/static/_2.9.11/css/calendar.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-01-04 21:32:09, GET, /admin/static/_2.9.11/js/calendar.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-01-04 21:32:09, GET, /admin/static/_2.9.11/js/web2py.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2015-01-04 21:32:09, GET, /admin/static/_2.9.11/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:32:09, GET, /admin/static/_2.9.11/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.025000
127.0.0.1, 2015-01-04 21:32:09, GET, /admin/static/_2.9.11/plugin_multiselect/start.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-01-04 21:32:09, GET, /admin/static/_2.9.11/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.028000
127.0.0.1, 2015-01-04 21:32:09, GET, /admin/static/_2.9.11/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-01-04 21:32:09, GET, /admin/static/_2.9.11/css/bootstrap.min.css, HTTP/1.1, 200, 0.029000
127.0.0.1, 2015-01-04 21:32:09, GET, /admin/static/_2.9.11/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.027000
127.0.0.1, 2015-01-04 21:32:09, GET, /admin/static/_2.9.11/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.029000
127.0.0.1, 2015-01-04 21:32:10, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-01-04 21:32:10, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:32:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-01-04 21:32:10, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-01-04 21:32:12, POST, /admin/default/index, HTTP/1.1, 303, 0.067000
127.0.0.1, 2015-01-04 21:32:12, GET, /admin/default/site, HTTP/1.1, 200, 0.091000
127.0.0.1, 2015-01-04 21:32:12, GET, /admin/static/_2.9.11/images/folder_locked.png, HTTP/1.1, 200, 0.046000
127.0.0.1, 2015-01-04 21:32:13, GET, /admin/static/_2.9.11/images/folder.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:32:13, GET, /admin/static/_2.9.11/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-01-04 21:32:33, POST, /admin/default/check_version, HTTP/1.1, 200, 20.983000
127.0.0.1, 2015-01-04 21:33:00, POST, /admin/default/site, HTTP/1.1, 303, 1.333000
127.0.0.1, 2015-01-04 21:33:00, GET, /admin/default/site, HTTP/1.1, 200, 0.062000
